10:36:12:093 [ALWAYS]	GUDE Logging Started
10:36:12:093 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:36:12:093 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:36:12:093 [ERROR]	Initialize resume cache pointer failure
10:36:12:093 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
10:36:12:093 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
10:36:14:442 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
10:36:14:443 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:36:14:443 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:36:14:443 [ERROR]	Initialize resume cache pointer failure
10:36:14:443 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
10:36:14:443 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
